Word,Rank,Frequency
mainstream,583,4
influence,584,4
dinner,585,4
cranberry,586,4
present,587,4
goes,588,4
tightly,589,4
obvious,590,4
gets,591,4
barrel,592,4
softly,593,4
core,594,4
mouthful,595,4
straw,596,4
marmalade,597,4
becomes,598,4
level,599,4
brought,600,4
hollow,601,4
currently,602,4
flight,603,4
flashy,604,4
kerosene,605,4
rhone,606,4
prosecco,607,4
name,608,4
mix,609,4
approachable,610,4
producers,611,4
fizzy,612,4
go,613,4
feeling,614,4
rim,615,4
type,616,4
reds,617,4
flavoursome,618,4
course,619,4
puligny,620,4
stirred,621,4
bodied,622,4
twist,623,4
undrinkable,624,4
meunier,625,4
entirely,626,4
either,627,4
fully,628,4
stage,629,4
overwrought,630,4
farmyard,631,4
earlier,632,4
exciting,633,4
irony,634,4
glorious,635,4
every,636,4
unlike,637,4
phase,638,4
highest,639,4
scented,640,4
emilion,641,4
chablis,642,4
mouthwatering,643,4
magnum,644,4
leesy,645,4
follows,646,4
lees,647,4
almonds,648,4
word,649,4
night,650,4
attention,651,4
samples,652,4
usual,653,4
found,654,3
mint,655,3
wears,656,3
cabernet,657,3
reveal,658,3
oaked,659,3
reliable,660,3
winery,661,3
feels,662,3
trying,663,3
complete,664,3
limey,665,3
tend,666,3
quickly,667,3
rough,668,3
help,669,3
develops,670,3
except,671,3
marzipan,672,3
tasting,673,3
glasses,674,3
coloured,675,3
bordeaux,676,3
ethereal,677,3
tempranillo,678,3
clarety,679,3
sent,680,3
coffee,681,3
subdued,682,3
pepper,683,3
timeless,684,3
steely,685,3
relatively,686,3
grapey,687,3
spritzy,688,3
la,689,3
usually,690,3
unpleasant,691,3
etc,692,3
standards,693,3
flab,694,3
common,695,3
decadent,696,3
tastes,697,3
cote,698,3
iron,699,3
become,700,3
rioja,701,3
horrible,702,3
sit,703,3
around,704,3
house,705,3
noticable,706,3
depths,707,3
hotel,708,3
spices,709,3
fineness,710,3
upstaged,711,3
stands,712,3
gone,713,3
everything,714,3
nectarine,715,3
overall,716,3
surprised,717,3
tone,718,3
bought,719,3
pruney,720,3
surprisingly,721,3
oddbins,722,3
second,723,3
french,724,3
rusticity,725,3
delightful,726,3
pichon,727,3
occasionally,728,3
somehow,729,3
poured,730,3
months,731,3
spirity,732,3
positive,733,3
certain,734,3
rotie,735,3
expense,736,3
flawed,737,3
generous,738,3
perfect,739,3
pleasing,740,3
tea,741,3
frothy,742,3
beaujolais,743,3
astringent,744,3
dryness,745,3
hour,746,3
judgement,747,3
unforced,748,3
residual,749,3
gravner,750,3
reductive,751,3
seriously,752,3
suggestive,753,3
box,754,3
sauvage,755,3
cooked,756,3
whiff,757,3
minerals,758,3
leathery,759,3
car,760,3
premature,761,3
reveals,762,3
bubbles,763,3
overly,764,3
anywhere,765,3
blind,766,3
evenings,767,3
undemanding,768,3
credit,769,3
caramel,770,3
gives,771,3
smoke,772,3
takes,773,3
tiring,774,3
yes,775,3
nebbiolo,776,3
statement,777,3
maturing,778,3
digestible,779,3
whites,780,3
world,781,3
decide,782,3
fear,783,3
inky,784,3
idea,785,3
banana,786,3
problem,787,3
ought,788,3
look,789,3
touches,790,3
fruitier,791,3
develop,792,3
wound,793,3
consume,794,3
hazelnuts,795,3
freshness,796,3
peach,797,3
chianti,798,3
extravagantly,799,3
international,800,3
lemon,801,3
days,802,3
cream,803,3
gingery,804,3
large,805,3
lunch,806,3
keroseney,807,3
according,808,3
worry,809,3
potential,810,3
fragrance,811,3
provence,812,3
lesser,813,3
finesse,814,3
vibrancy,815,3
integrated,816,3
partly,817,3
refreshing,818,3
mind,819,3
late,820,3
intersting,821,3
people,822,3
heavily,823,3
bottled,824,3
curiously,825,3
oxidative,826,3
mean,827,3
vines,828,3
raisiny,829,3
winemaking,830,3
honeysuckle,831,3
pink,832,3
otherwise,833,3
fresher,834,3
drank,835,3
evolution,836,3
shows,837,3
latter,838,3
deeply,839,3
broad,840,3
fwd,841,3
absolutely,842,3
oaky,843,3
precise,844,3
emerge,845,3
close,846,3
italian,847,3
ripeness,848,3
left,849,3
flowers,850,3
robust,851,3
five,852,3
fills,853,3
sophisticated,854,3
flavoury,855,3
quiet,856,3
easier,857,3
loads,858,3
excited,859,3
animal,860,3
problems,861,3
getting,862,3
older,863,3
basis,864,3
grippy,865,3
maderised,866,3
broader,867,3
wonderful,868,3
decanting,869,3
berries,870,2
dosage,871,2
package,872,2
evolving,873,2
brilliant,874,2
specially,875,2
disappointed,876,2
grapefruity,877,2
work,878,2
marmaladey,879,2
thick,880,2
jadot,881,2
beside,882,2
extravagently,883,2
awful,884,2
noir,885,2
cloudy,886,2
reasonably,887,2
delineated,888,2
cold,889,2
botrytised,890,2
inside,891,2
shade,892,2
stuffing,893,2
styled,894,2
strength,895,2
stops,896,2
balancing,897,2
today,898,2
expects,899,2
distinction,900,2
living,901,2
alas,902,2
ways,903,2
totally,904,2
sickly,905,2
flamboyant,906,2
midpalate,907,2
promising,908,2
surprise,909,2
hardly,910,2
wildly,911,2
ridge,912,2
flatness,913,2
scoff,914,2
bollinger,915,2
rose,916,2
pauillac,917,2
term,918,2
small,919,2
excess,920,2
bay,921,2
ahead,922,2
lean,923,2
ordinary,924,2
corruption,925,2
view,926,2
evolve,927,2
hoped,928,2
cellars,929,2
almond,930,2
australian,931,2
swiss,932,2
reservations,933,2
guigal,934,2
quick,935,2
nevertheless,936,2
beetrooty,937,2
various,938,2
berryish,939,2
restaurant,940,2
zingy,941,2
ravishing,942,2
bigger,943,2
ozzy,944,2
persuaded,945,2
metallic,946,2
breeding,947,2
ideal,948,2
intriguing,949,2
else,950,2
empty,951,2
confected,952,2
admire,953,2
took,954,2
nothing,955,2
lime,956,2
merit,957,2
tokay,958,2
variable,959,2
tried,960,2
oddity,961,2
lafarge,962,2
northern,963,2
funky,964,2
resolve,965,2
precision,966,2
definition,967,2
synthetic,968,2
ginger,969,2
hazelnut,970,2
butter,971,2
clarity,972,2
said,973,2
medicinal,974,2
mosel,975,2
final,976,2
allowed,977,2
remarked,978,2
tighter,979,2
rest,980,2
southern,981,2
spicey,982,2
presence,983,2
insubstantial,984,2
whatever,985,2
corkiness,986,2
pinots,987,2
aiming,988,2
appeal,989,2
reserve,990,2
following,991,2
notably,992,2
noirs,993,2
unforthcoming,994,2
sea,995,2
body,996,2
fantastically,997,2
slips,998,2
fino,999,2
talbot,1000,2
guy,1001,2
chalky,1002,2
faulty,1003,2
potentially,1004,2
comparison,1005,2
desert,1006,2
barriques,1007,2
hit,1008,2
apart,1009,2
future,1010,2
enigmatic,1011,2
somebody,1012,2
away,1013,2
kept,1014,2
noticed,1015,2
veg,1016,2
obviously,1017,2
darker,1018,2
sip,1019,2
whilst,1020,2
halves,1021,2
decanter,1022,2
yummy,1023,2
liquid,1024,2
domaine,1025,2
alive,1026,2
fleshy,1027,2
cheese,1028,2
truly,1029,2
grenachey,1030,2
eminently,1031,2
toby,1032,2
deeper,1033,2
tired,1034,2
lamaione,1035,2
liked,1036,2
spice,1037,2
hole,1038,2
giving,1039,2
tough,1040,2
solera,1041,2
underneath,1042,2
maderisation,1043,2
raw,1044,2
put,1045,2
stewed,1046,2
advanced,1047,2
arrived,1048,2
company,1049,2
analysis,1050,2
liquor,1051,2
marked,1052,2
london,1053,2
fraiche,1054,2
wax,1055,2
order,1056,2
brioche,1057,2
intellectual,1058,2
doubt,1059,2
gluey,1060,2
keeper,1061,2
finishes,1062,2
biscuity,1063,2
altogether,1064,2
kind,1065,2
flattering,1066,2
somewhat,1067,2
butterscotch,1068,2
overstated,1069,2
drinkability,1070,2
eight,1071,2
gracefully,1072,2
nuttyness,1073,2
price,1074,2
reason,1075,2
nondescript,1076,2
within,1077,2
exceptional,1078,2
mushroom,1079,2
shiraz,1080,2
backbone,1081,2
polished,1082,2
charred,1083,2
